2026-08-11 03:39:16 | frontend | UP | 200 | 422ms
2026-08-11 03:39:17 | appwrite | DOWN | 401 | 184ms
2026-08-11 03:39:17 | r2-media | UP | 206 | 119ms
2026-08-11 03:46:15 | frontend | UP | 200 | 22ms
2026-08-11 03:46:16 | appwrite | UP | 200 | 875ms
2026-08-11 03:46:16 | r2-media | UP | 206 | 167ms
2026-08-11 10:47:32 | frontend | UP | 200 | 23ms
2026-08-11 10:47:33 | appwrite | UP | 200 | 1210ms
2026-08-11 10:47:33 | r2-media | UP | 206 | 74ms
2026-08-11 10:52:04 | frontend | UP | 200 | 270ms
2026-08-11 10:52:04 | appwrite | UP | 200 | 320ms
2026-08-11 10:52:05 | r2-media | UP | 206 | 245ms
